"School.Name","County","LocaleType","Student.Teacher.Ratio","Free.Lunch"
"Edison Elementary","Lewis","Town",18.6,291
"Edison Elementary - Burlington/Edison","Skagit","Rural",18.4,106
"Edison Elementary School - Kennewick","Benton","City",18.6,464
"Edison Elementary School - Walla Walla","Walla Walla","City",15.8,274
"Edmonds Career Access Program","Snohomish","Suburb",NA,86
"Edmonds eLearning Academy","Snohomish","Suburb",14.5,13
"Edmonds Elementary","Snohomish","Suburb",20.2,67
"Edmonds Heights K-12","Snohomish","Suburb",46.9,91
"Edmonds Woodway High School","Snohomish","Suburb",21,402
"Educational Opportunity Center","Asotin","Suburb",19.5,70
"Educational Opportunity Center Reengagement","Asotin","Suburb",NA,0
"Educational Resource Center","Whatcom","Rural",17.5,18
"Edwin Markham Elementary","Franklin","Rural",19.4,143
"Edwin R Opstad Elementary","King","Town",19.5,97
"Einstein Elementary","King","City",14.8,142
"Eisenhower High School","Yakima","City",22.9,1579
"Eisenhower Middle School","Snohomish","City",21.8,266
"Eismann Elementary","Pierce","Rural",20,47
"Elger Bay Elementary","Island","Town",17.7,84
"Elk Plain Head Start","Pierce","Suburb",NA,0
"Elk Plain School of Choice","Pierce","Suburb",19.4,109
"Elk Ridge Elementary","Pierce","Suburb",18.1,91
"Ellen Ochoa Middle School","Franklin","Suburb",16.3,572
"Ellensburg Developmental Preschool","Kittitas","Town",31.9,3
"Ellensburg High School","Kittitas","Town",21.6,255
"Ellsworth Elementary School","Clark","City",16.2,239
"Elma Elementary School","Grays Harbor","Town",17.2,420
"Elma High School","Grays Harbor","Town",18.8,243
"Elma Middle School","Grays Harbor","Town",20.5,184
"Elmhurst Elementary School","Pierce","Suburb",17.5,340
"Emerald Heights Elementary","Kitsap","City",18.9,104
"Emerald Hills Elementary","Pierce","Suburb",17,112
"Emerald Park Elementary School","King","City",17.9,209
"Emerald Ridge High School","Pierce","Rural",23.5,289
"Emerson Elementary","Franklin","Suburb",18.9,571
"Emerson Elementary","Snohomish","Suburb",17.9,143
"Emerson Elementary","Grays Harbor","Town",15.3,161
"Emerson Elementary School","Snohomish","City",18.6,336
"Emerson Elementary School","King","City",13,161
"Emerson High School","King","Suburb",7.2,16
"Emerson K-12","King","Suburb",24.9,3
"Employment Transition Program","King","Suburb",NA,24
"Enatai Elementary School","King","City",18.5,75
"Endeavor Middle School","Grant","Town",15,199
"Endeavour Elementary","Snohomish","Suburb",18.8,70
"Endeavour Elementary School","Clark","City",17.7,355
"Endeavour Elementary School","King","Rural",19.6,41
"Endeavour Intermediate","Pierce","Suburb",17.4,226
"Endicott/St John Elem and Middle","Whitman","Rural",11,51
"English Crossing Elementary","Snohomish","Suburb",17.6,117
"Enterprise Elementary School","King","Suburb",17.3,250
"Enterprise Middle School","Benton","Suburb",23,188
"Entiat Middle and High School","Chelan","Rural",15,81
"Enumclaw Middle School","King","Suburb",19.1,126
"Enumclaw Sr High School","King","Suburb",21.4,283
"Environmental & Adventure School","King","Suburb",23.3,3
"Ephrata High School","Grant","Town",21.7,255
"Ephrata Middle School","Grant","Town",20.9,166
"ESA 112 Special Ed Co-Op",NA,NA,NA,NA
"ESD 112 Open Doors Reengagement","Clark","City",NA,0
"Esquire Hills Elementary","Kitsap","Suburb",14.3,175
"EV Online",NA,NA,NA,NA
"EV Parent Partnership",NA,NA,NA,NA
"Evaline Elementary School","Lewis","Rural",21,28
"Everett High School","Snohomish","City",21.3,641
"Everett Reengagement Academy","Snohomish","City",NA,16
"Evergreen Elementary","Pierce","Suburb",16.5,240
"Evergreen Elementary","Pierce","Rural",12.7,110
"Evergreen Elementary School","Mason","Town",15.3,474
"Evergreen Elementary School","Skagit","Suburb",16,287
"Evergreen Elementary School","Pierce","Suburb",14,155
"Evergreen Elementary School","Spokane","Suburb",17.5,202
"Evergreen Forest Elementary","Thurston","Suburb",17.3,137
"Evergreen Heights Elementary","King","City",16.2,200
"Evergreen High School","Clark","City",21.1,784
"Evergreen High School",NA,NA,NA,NA
"Evergreen Middle School","Snohomish","City",20.7,467
"Evergreen Middle School","King","Suburb",21.1,47
"Evergreen Middle School","Spokane","City",19,192
"Evergreen Primary","Pierce","Suburb",16.3,168
"Evergreen School","Stevens","Rural",12.5,9
"Everson Elementary","Whatcom","Town",15.2,133
"Excel Public Charter School","King","City",NA,0
"Excelsior Youth Center School","Spokane","City",NA,NA
"Explorer Academy","Kitsap","Suburb",28.3,42
"Explorer Community School","King","Suburb",19.6,0
"Explorer Middle School","Snohomish","City",19.4,486
"Fairhaven Middle School","Whatcom","City",19.3,108
"Fairmount Elementary","Snohomish","Suburb",18.5,376
"Fairmount Park Elementary School","King","City",19.8,36
"Fairview Middle School","Kitsap","Suburb",21,168
"Fairwood Elementary School","King","Suburb",17.9,152
"Fall City Elementary","King","Suburb",20.6,38
"Family Link","King","Rural",30.1,14
"Farwell Elementary School","Spokane","Suburb",19.8,175
"Fawcett","Pierce","City",15.4,256
"Federal Way High School","King","Suburb",20.4,893
"Federal Way Public Academy","King","Suburb",23.3,71
"Federal Way Public School ECEAP","King","Suburb",NA,7
"Federal Way Public Schools Headstart","King","Suburb",NA,6
"Federal Way Running Start Home School","King","Suburb",NA,0
"Felida Elementary School","Clark","Suburb",20.7,82
"Fern Hill","Pierce","City",16.1,207
"Ferndale High School","Whatcom","Suburb",22.5,473
"FERNDALE RE-ENGAGEMENT",NA,NA,NA,NA
"Ferndale Special Services","Whatcom","Suburb",NA,0
"Fernwood Elementary","Snohomish","Suburb",19.6,64
"Ferris High School","Spokane","City",19.8,593
"Ferrucci Jr High","Pierce","Suburb",20.2,227
"Fidalgo Elementary","Skagit","Rural",20,116
"Fife High School","Pierce","Suburb",22.8,263
"Finch Elementary","Spokane","City",18.3,250
"Finley Elementary","Benton","Rural",14.6,225
"Finley Middle School","Benton","Suburb",16.8,126
"Finn Hill Middle School","King","Suburb",20,91
"Fir Grove Childrens Center","Clark","City",7.2,40
"Fircrest Elementary School","Clark","City",16.6,223
"Fircrest Residential Habilitation","King","Suburb",NA,8
"Firgrove Elementary","Pierce","Suburb",18.4,282
"First Creek Middle School","Pierce","City",16.6,602
"Firwood","Pierce","City",8.5,6
"Fisher Elementary School","Whatcom","Town",16.8,156
"Fishers Landing Elementary School","Clark","City",17.9,108
"Foothills Elementary","Pierce","Suburb",20.2,150
"Foothills Middle School","Chelan","City",21.1,307
"Fords Prairie Elementary","Lewis","Town",15.8,287
"Forest View Elementary School","Snohomish","Suburb",20.9,42
"Forks Alternative School","Clallam","Town",24,13
"Forks Elementary School","Clallam","Town",14.2,214
"Forks Intermediate School","Clallam","Town",14.5,138
"Forks Junior-Senior High School","Clallam","Town",21,225
"Fort Colville Elementary","Stevens","Town",17.4,160
"Fort Stevens Elementary","Thurston","Town",16.5,249
"Fort Vancouver High School","Clark","City",21.1,990
"Foss","Pierce","City",20.8,575
"Foster Senior High School","King","Suburb",20.4,587
"Four Heroes Elementary","Pierce","City",17.1,543
"Frank Love Elementary","Snohomish","Suburb",19.8,125
"Frank Wagner Elementary","Snohomish","Suburb",15.4,357
"Franklin","Pierce","City",13.4,202
"Franklin Elementary","Spokane","City",17.1,168
"Franklin Elementary","Whitman","Town",21.2,164
"Franklin Elementary","Clallam","Town",16.3,203
"Franklin Elementary","King","Suburb",19.2,24
"Franklin High School","King","City",20.5,665
"Franklin Middle School","Yakima","City",20.7,736
"Franklin Pierce High School","Pierce","Suburb",20.6,621
"Frantz Coe Elementary School","King","City",18.1,56
"Frederickson Elementary","Pierce","Suburb",16.6,204
"Freeman Elementary School","Spokane","Rural",17.8,75
"Freeman High School","Spokane","Rural",19.9,46
"Freeman Middle School","Spokane","Rural",19.1,44
"Fresh Start","Pierce","City",74.8,164
"Friday Harbor Elementary School","San Juan","Rural",16.5,114
"Friday Harbor High School","San Juan","Rural",19.6,72
"Friday Harbor Middle School","San Juan","Rural",21,45
"Frontier Middle School","Grant","Town",20.3,350
"Frontier Middle School","Clark","Rural",16.7,285
"Frontier Middle School","Pierce","Rural",22.3,209
"Frost Elementary","King","Suburb",14.7,139
"Fruit Valley Elementary School","Clark","City",16.8,206
"Fruitland Elementary","Pierce","Suburb",22.8,141
"Fryelands Elementary","Snohomish","Suburb",19.4,121
"Futures Program","Pierce","Suburb",NA,NA
"Futures School","King","Suburb",23.2,16
"Futurus High School","Lewis","Rural",26.4,56
"Gaiser Middle School","Clark","Suburb",18.8,444
"Garden Heights Elementary","Grant","Town",20.7,181
"Garfield at Palouse High School","Whitman","Rural",NA,14
"Garfield Elementary","Whitman","Rural",12.5,18
"Garfield Elementary","Spokane","City",13.2,319
"Garfield Elementary School","Yakima","Town",19.3,384
"Garfield Elementary School","Yakima","City",18.7,527
"Garfield Elementary School","Thurston","City",16.9,213
"Garfield Elementary School","Snohomish","City",17.7,241
"Garfield High School","King","City",23.1,457
"Garfield Middle School","Whitman","Rural",4.7,17
"Garrett Heyns High School","Mason","Town",NA,0
"Garrison Middle School","Walla Walla","City",17.1,291
"Garry Middle School","Spokane","City",14.3,424
"Gate Program","Clark","City",13,9
"Gates Secondary School","Pierce","Suburb",10.3,115
"Gateway","King","Suburb",NA,0
"Gateway Middle School","Snohomish","Suburb",22.8,59
"Gateway to College","King","Suburb",NA,14
"Gateway to College","King","Suburb",NA,0
"Gatewood Elementary School","King","City",17.2,91
"Gause Elementary","Clark","Suburb",19.9,161
"Geiger","Pierce","City",18.2,163
"Genesee Hill Elementary","King","City",20.1,40
"Geneva Elementary School","Whatcom","Suburb",18.6,100
"George C Marshall Elementary","Clark","City",15.8,241
"George Elementary","Grant","Rural",13.9,150
"George T. Daniel Elementary School","King","City",17.3,386
"George Washington Bush Middle Sch","Thurston","City",21,142
"Gess Elementary","Stevens","Rural",16.9,194
"Gibson Ek High School",NA,NA,NA,NA
"Gig Harbor High","Pierce","Suburb",26.1,178
"Gilbert Elementary School","Yakima","City",18.9,443
"Gildo Rey Elementary School","King","City",16.9,395
"Glacier Middle School","Pierce","Suburb",19.8,211
"Glacier Park Elementary","King","Suburb",22.3,73
"Glacier Peak High School","Snohomish","Suburb",26.5,155
"Glacier View Junior High","Pierce","Rural",21.9,178
"Glenridge Elementary","King","City",17.3,218
"Glenwood Elementary","Snohomish","Suburb",20.6,111
"Glenwood Elementary","Klickitat","Rural",7.8,15
"Glenwood Heights Primary","Clark","Suburb",18.4,220
"Glenwood Secondary","Klickitat","Rural",6.9,7
"Glover Middle School","Spokane","City",15.3,391
"Gold Bar Elementary","Snohomish","Town",17,178
"Goldendale High School","Klickitat","Town",18.6,124
"Goldendale Middle School","Klickitat","Town",15.9,128
"Goldendale Primary School","Klickitat","Town",18,209
"Goldendale Support Service Center","Klickitat","Town",NA,3
"Good Beginnings Center","Skagit","Suburb",NA,29
"Goodman Middle School","Pierce","Suburb",20.9,86
"Grad Alliance Program","King","City",NA,3
"Graham Elementary","Pierce","Suburb",19.5,149
"Graham Hill Elementary School","King","City",13,167
"Graham Kapowsin High School","Pierce","Rural",25.2,469
"Grainger Elementary","Okanogan","Town",20,265
"Grand Mound Elementary","Thurston","Rural",17.2,240
"Grand Ridge Elementary","King","Suburb",19.2,33
"Grandview High School","Yakima","Town",24.1,594
"Grandview Middle School","Yakima","Town",21.8,694
"Granger High School","Yakima","Town",18.3,352
"Granger Middle School","Yakima","Town",20.2,413
"Granite Falls High School","Snohomish","Town",21.8,167
"Granite Falls Middle School","Snohomish","Town",18.1,143
"Granite Falls Open Doors","Snohomish","Town",NA,31
"Grant","Pierce","City",15.9,118
"Grant Co Detention Ctr","Grant","Rural",11,0
"Grant Elementary","Grant","Town",17.5,185
"Grant Elementary","Spokane","City",13.2,283
"Grant Elementary School","Douglas","Suburb",17.2,237
"Grant Street Elementary","Jefferson","Town",15.1,156
"Grantham Elementary","Asotin","Suburb",15.4,210
"Grapeview Elementary & Middle School","Mason","Rural",19.1,84
"Grass Lake Elementary School","King","Suburb",17.2,97
"Grass Valley Elementary","Clark","Suburb",20.3,46
"GRAVITY High School","Thurston","City",NA,0
"Gray","Pierce","City",18.7,403
"Grays Harbor Juvenile Detention","Grays Harbor","Town",9.5,6
"Great Northern Elementary","Spokane","Rural",24,3
"Green Gables Elementary School","King","Suburb",18.4,122
"Green Hill Academic School","Lewis","Town",9.7,47
"Green Lake Elementary School","King","City",17.3,28
"Green Mountain Elementary","Kitsap","Rural",16.9,118
"Green Mountain School","Clark","Rural",16.2,46
"Green Park Elementary School","Walla Walla","City",15.1,254
"Greenacres Elementary","Spokane","City",18.9,169
"Greenacres Middle School","Spokane","City",20.6,133
"Greenwood Elementary School","King","City",19.1,54
"Gregory Heights Elementary","King","Suburb",18.2,318
"Greywolf Elementary School","Clallam","Town",18.2,185
"Griffin Bay School","San Juan","Rural",35,3
"Griffin Home","King","City",5,NA
"Griffin School","Thurston","Suburb",20.3,95
"Grove Elementary","Snohomish","Suburb",18.3,190
"H.e.a.r.t. High School","Thurston","Town",26.9,14
"H.O.M.E. Program","King","City",57.7,8
"Haller Middle School","Snohomish","Suburb",20.2,169
"Hallett Elementary","Spokane","Rural",18.8,194
"Hamblen Elementary","Spokane","City",17.8,196
"Hamilton Elementary","Clallam","Town",16.8,164
"Hamilton International Middle School","King","City",20.4,60
"Handicapped Contractual Services","King","Suburb",NA,28
"Hanford High School","Benton","City",25.3,372
"Happy Valley Elementary School","Whatcom","City",19,117
"Harbor Heights Elementary School","Pierce","Suburb",18.3,138
"Harbor High School","Grays Harbor","Town",17.7,86
"Harbor Ridge Middle School","Pierce","Suburb",22.6,96
"Harbour Pointe Middle School","Snohomish","Suburb",18.8,148
"Harmony Elementary","Whatcom","Rural",17,143
"Harmony Elementary School","Clark","Suburb",18.4,143
"Harney Elementary School","Clark","City",18.9,357
"Harrah Elementary School","Yakima","Rural",15.9,416
"Harrington Elementary School","Lincoln","Rural",7.1,18
"Harrington High School","Lincoln","Rural",6.3,24
"Harrison Middle School","Yakima","Town",20.4,705
"Harrison Prep School","Pierce","City",20.9,257
"Harry S Truman Elementary School","Clark","Suburb",17.8,312
"Harvard Elementary","Pierce","Suburb",15.8,342
"Hathaway Elementary","Clark","Suburb",16.2,241
"Hawkins Middle School","Mason","Rural",18.4,202
"Hawthorne Elementary School - Everett","Snohomish","City",17.8,376
"Hawthorne Elementary School - Kennewick","Benton","City",18.6,394
"Hawthorne Elementary School - Seattle","King","City",16,156
"Hayes Freedom High School","Clark","Suburb",16.8,53
"Hazel Dell Elementary School","Clark","Suburb",17,294
"Hazel Valley Elementary","King","Suburb",18.4,491
"Hazel Wolf K-8","King","City",19.2,120
"Hazelwood Elementary","Snohomish","Suburb",17.4,145
"Hazelwood Elementary School","King","City",17.8,184
"Hazelwood Elementary School","King","Suburb",19.6,99
"Hazen Senior High School","King","City",24.1,454
"Head Start","King","Suburb",NA,NA
"Head Start","King","Suburb",NA,0
"HEAD START/ECEAP PRESCHOOL","Walla Walla","City",NA,13
"Hearthwood Elementary School","Clark","City",13.8,199
"Heatherwood Middle School","Snohomish","Suburb",23,211
"Hedden Elementary School","Pierce","Suburb",18,193
"Heights Elementary","Asotin","Suburb",18.4,117
"HeLa High School","Clark","City",19.2,158
"Helen B. Stafford Elementary","Pierce","City",17,345
"Helen Baller Elem","Clark","Suburb",18.5,97
"Helen Haller Elementary School","Clallam","Town",15.7,283
"Henderson Bay Alt High School","Pierce","Suburb",16.3,53
"Henry M. Jackson High School","Snohomish","Suburb",23.8,300
"Heritage High School","Clark","Suburb",21.6,757
"Heritage School","Snohomish","Suburb",10.8,57
"Hiawatha Elementary School","Adams","Town",20.6,447
"Hidden Creek Elementary School","Kitsap","Suburb",18.3,182
"Hidden River Middle School","Snohomish","Suburb",19.5,82
"High School Re Entry","Snohomish","Suburb",NA,9
"Highland Elementary","Snohomish","Suburb",22.1,134
"Highland Elementary","Asotin","Suburb",17,224
"Highland High School","Yakima","Rural",16.5,227
"Highland Junior High School","Yakima","Rural",18.3,108
"Highland Middle School","King","City",14.9,206
"Highland Park Elementary School","King","City",11.6,190
"Highland Terrace Elementary","King","Suburb",18.6,47
"Highlands Elementary School","King","City",17.5,319
"Highlands High School","Okanogan","Town",NA,8
"Highlands Middle School","Benton","City",19.5,662
"Highline High School","King","Suburb",19.1,715
"Highline Home School Center","King","Suburb",NA,3
"Highline Open Doors 1418","King","Suburb",NA,130
"Hilder Pearson Elementary","Kitsap","Suburb",18.8,88
"Hillcrest Elementary","Island","Town",17.2,133
"Hillcrest Elementary School","Snohomish","Suburb",21.5,224
"Hillside Elementary School","Pierce","Suburb",17.7,221
"Hilltop Elementary","Snohomish","Suburb",19.4,78
"Hilltop Elementary","King","Suburb",18.5,443
"Hilltop Elementary","Pierce","Suburb",NA,0
"Hilltop School","Pacific","Rural",20.7,172
"Hilton Elementary School","Yakima","Town",16.3,196
"Hockinson Heights Elementary School","Clark","Rural",18.1,127
"Hockinson High School","Clark","Rural",20.3,80
"Hockinson Middle School","Clark","Rural",21.3,63
"Hofstetter Elementary","Stevens","Town",15.6,191
"Holden Village Community School","Chelan","Rural",5,NA
"Hollywood Hill Elementary","King","Suburb",16.1,41
"Holmes Elementary","Spokane","City",12.1,292
"Home Choice Academy","Clark","City",19.9,19
"Home Education Exchange","King","Suburb",NA,8
"Home Link Alternative","Stevens","Rural",30.3,30
"Home School Experience","Okanogan","Rural",20,4
"HomeConnection","Clallam","Rural",39.4,10
"Homeconnection","Island","Town",57.6,20
"Homelink","Snohomish","Suburb",20.4,12
"Homelink River","Clark","Suburb",26.3,180
"HomeWorks","Spokane","Town",37,10
"Honey Dew Elementary","King","City",17.3,305
"Hood Canal Elem & Junior High","Mason","Rural",15,185
"Hoover Elementary School","Yakima","City",23.8,670
"Hopkins Elementary","Grays Harbor","Town",7.5,34
"Hoquiam High School","Grays Harbor","Town",21.4,246
"Hoquiam Homelink School","Grays Harbor","Town",32,52
"Hoquiam Middle School","Grays Harbor","Town",18.3,226
"Horizon Elementary","Snohomish","City",17.2,580
"Horizon Elementary School","King","City",18.7,183
"Horizon Middle School","Whatcom","Rural",17.5,189
"Horizon Middle School","Spokane","City",18.8,101
"Horizons Elementary","Thurston","Suburb",17.8,146
"Horse Heaven Hills Middle School","Benton","City",22.1,374
"Hough Elementary School","Clark","City",14.2,169
"Housel Middle School","Benton","Town",17,359
"Hoyt Early Learning Center",NA,NA,NA,NA
"Hudson's Bay High School","Clark","City",21.4,665
"Hudtloff Middle School","Pierce","City",18.9,416
"Hulan L Whitson Elem","Klickitat","Town",18.3,168
"Huntington Middle School","Cowlitz","Suburb",18.2,283
"Hutch School","King","City",NA,0
"Hutton Elementary","Spokane","City",20,111
"I-TRACC","Spokane","City",NA,44
"ICCF Ed Program","Island","Rural",NA,0
"Icicle River Middle School","Chelan","Town",16.6,112
"Idlewild Elementary School","Pierce","City",17.5,159
"iGrad","King","City",90.7,174
"iGrad Academy","Island","Town",NA,8
"Ilalko Elementary School","King","City",17.6,271
"Illahee Elementary School","Clark","City",17.8,127
"Illahee Middle School","King","Suburb",17.2,345
"Ilwaco High School","Pacific","Rural",22.3,143
"Image Elementary School","Clark","City",18,325
"IMPACT Reengagement Program",NA,NA,NA,NA
"Inchelium Elementary School","Ferry","Rural",12.3,63
"Inchelium High School","Ferry","Rural",8.6,42
"Inchelium Middle School","Ferry","Rural",14.1,27
"Independent Scholar","Spokane","Rural",40,35
"Index Elementary School","Snohomish","Rural",12.7,13
"Indian Trail Elementary","Spokane","City",16.5,103
"Industrial Design Engineering and Art",NA,NA,NA,NA
"Inglemoor HS","King","Suburb",22.4,185
"Inglewood Middle School","King","Suburb",20.7,27
"Ingraham High School","King","City",19.9,249
"Insight School of Washington","Clallam","Town",36.6,729
"Interagency Detention School","King","City",NA,3
"Interagency Open Doors","King","City",NA,40
"Interagency Programs","King","City",12,220
"Interlake Senior High School","King","City",18.7,335
"International Community School","King","Suburb",21.7,3
"International School","King","City",19.4,21
"Internet Academy","King","Suburb",17.6,67
"Internet Pasco Academy of Learning","Franklin","Suburb",NA,0
"Irene Reither Elementary School","Whatcom","Rural",16.4,227
"Island Juvenile Detention Education Program","Island","Rural",1,NA
"Island Park Elementary","King","Suburb",19,18
"Island View Elementary","Skagit","Town",18.8,140
"Islander Middle School","King","Suburb",21.4,32
"Isom Elementary School","Whatcom","Town",18.9,142
"Issaquah Head Start","King","Suburb",NA,0
"Issaquah High School","King","Suburb",25.3,168
"Issaquah Middle School","King","Suburb",20.9,97
"Issaquah Special Services","King","Suburb",NA,0
"Issaquah Valley Elementary","King","Suburb",17.8,120
"J M Weatherwax High School","Grays Harbor","Town",17.9,481
"Jackson Elementary School","Snohomish","City",17,215
"James A. Taylor High School","Mason","Rural",10.1,19
"James McGee Elementary","Franklin","Suburb",17.5,229
"James Sales Elementary","Pierce","Suburb",16.7,357
"Jane Addams Middle School","King","City",18.9,200
"Jason Lee","Pierce","City",17.4,380
"Jason Lee Elementary School","Benton","City",20.6,235
"Jason Lee Middle School","Clark","Suburb",17.8,263
"Jefferson","Pierce","City",15.8,147
"Jefferson Elementary","Spokane","City",16.6,164
"Jefferson Elementary","Benton","City",19.3,236
"Jefferson Elementary","Clallam","Town",17.1,184
"Jefferson Elementary","Whitman","Town",23.8,126
"Jefferson Elementary","Skagit","City",16.7,268
"Jefferson Elementary","Snohomish","Suburb",19.3,170
"Jefferson Lincoln Elementary","Lewis","Town",17,309
"Jefferson Middle School","Thurston","City",19,147
"Jefferson Middle School","Clark","Suburb",19.9,192
"Jemtegaard Middle School","Clark","Rural",19.1,184
"Jenkins Creek Elementary School","King","Suburb",17.3,154
"Jenkins Junior/Senior High","Stevens","Rural",16.2,167
"Jing Mei Elementary School","King","City",19.7,7
"JJ Smith Elementary",NA,NA,NA,NA
"John Campbell Primary School","Yakima","Suburb",15.2,397
"John D. ?Bud? Hawk Elementary at Jackson Park","Kitsap","City",17.9,144
"John Hay Elementary School","King","City",17,44
"John Muir Elementary School","King","City",15.9,204
"John Newbery Elementary","Chelan","City",17.5,317
"John Rogers Elementary School","King","City",16.2,123
"John Sager Middle School","Walla Walla","Suburb",17.5,176
"John Sedgwick Middle School","Kitsap","Suburb",20.3,170
"John Stanford International School","King","City",19.4,19
"Juanita Elementary","King","Suburb",17.5,80
"Juanita High","King","Suburb",19.8,294
"Julia Butler Hansen Elementary","Thurston","City",18.3,198
"Julius A Wendt Elementary/John C Thomas Middle School","Wahkiakum","Rural",19.9,186
"Juvenile Detention Center","Yakima","City",NA,20
"K-12 Ellensburg Learning Center","Kittitas","Town",24,4
"Kahlotus Elem & High","Franklin","Rural",4.7,30
"Kalama Elem School","Cowlitz","Rural",19,134
"Kalama Jr Sr High","Cowlitz","Rural",20.6,144
"Kalles Junior High","Pierce","Suburb",22,196
"Kamiak High School","Snohomish","Suburb",24.5,320
"Kamiakin High School","Benton","City",23.9,557
"Kamiakin Middle School","King","Suburb",17.8,161
"Kapowsin Elementary","Pierce","Rural",18.9,131
"Karshner Elementary","Pierce","Suburb",19.3,164
"Keene-Riverview Elementary","Benton","Town",16.7,280
"Keewaydin Discovery Center","Benton","City",24.2,95
"Keller Elementary","King","Suburb",15.7,75
"Keller Elementary School","Ferry","Rural",10.7,27
"Kellogg Marsh Elementary School","Snohomish","Suburb",17.4,188
"Kellogg Middle School","King","Suburb",20.5,166
"Kelso High School","Cowlitz","Suburb",21.4,645
"Kelso Virtual Academy","Cowlitz","Suburb",NA,16
"Kendall Elementary","Whatcom","Rural",16.4,280
"Kenmore Elementary","King","Suburb",17.2,167
"Kenmore Middle School","King","Suburb",20.8,96
"Kennewick High School","Benton","City",21.4,972
"Kennydale Elementary School","King","City",18.3,154
"Kenroy Elementary","Douglas","Suburb",16.1,221
"Kent Elementary School","King","City",15.3,510
"Kent Mountain View Academy","King","Suburb",18.9,71
"Kent Phoenix Academy","King","City",20.1,142
"Kent Prairie Elementary","Snohomish","Suburb",18.1,246
"Kent-Meridian High School","King","City",23.1,1356
"Kentlake High School","King","Suburb",21.9,452
"Kentridge High School","King","City",21.5,593
"Kentwood High School","King","Suburb",22.7,624
"Kessler Elementary School","Cowlitz","City",12.9,281
"Kettle Falls Elementary School","Stevens","Rural",17.4,148
"Kettle Falls High School","Stevens","Rural",14.6,85
"Kettle Falls Middle School","Stevens","Rural",17.8,109
"Key Peninsula Middle School","Pierce","Rural",18.5,153
"Kilo Middle School","King","Suburb",15.2,300
"Kimball Elementary School","King","City",16.7,149
"Kingston High School","Kitsap","Rural",23.2,227
"Kingston Middle School","Kitsap","Rural",17.5,149
"Kiona-Benton City High School","Benton","Town",18.9,198
"Kiona-Benton City Middle School","Benton","Town",18.6,176
"Kiona-Benton City Primary School","Benton","Town",14.5,146
"Kiona-Benton Intermediate School","Benton","Town",17.5,184
"Kirk Elementary","King","Suburb",19.1,23
"Kirkland Middle School","King","Suburb",21.2,53
"Kirkwood Elementary School","Yakima","Town",18.1,597
"Kitsap Co Detention Ctr","Kitsap","Suburb",NA,13
"Kitsap Lake Elementary","Kitsap","City",16.2,182
"Kittitas B-5 Special Ed Program","Kittitas","Rural",NA,NA
"Kittitas Elementary School","Kittitas","Rural",16.2,105
"Kittitas High School","Kittitas","Rural",19.7,140
"Klahowya Secondary","Kitsap","Rural",21.5,189
"Klickitat Elem & High","Klickitat","Rural",9.4,36
"Knolls Vista Elementary","Grant","Town",19.6,283
"Kokanee Elementary","Snohomish","Suburb",17.9,55
"Komachin Middle School","Thurston","Suburb",19.7,244
"Kopachuck Middle School","Pierce","Suburb",23,66
"Kulshan Middle School","Whatcom","City",17.4,189
"La Center Elementary","Clark","Town",17.5,122
"La Center High School","Clark","Rural",20.3,105
"La Center Home School Academy","Clark","Rural",NA,NA
"La Center Middle School","Clark","Town",19.6,81
"La Conner Elementary","Skagit","Town",15,138
"La Conner High School","Skagit","Town",15.5,81
"La Conner Middle","Skagit","Town",13.3,53
"La Venture Middle School","Skagit","City",16.4,428
"Lacamas Heights Elementary","Clark","Suburb",17.1,65
"Lacey Elementary","Thurston","Suburb",14.7,234
"Lackamas Elementary","Thurston","Rural",17.1,106
"Lacrosse Elementary School","Whitman","Rural",5.5,8
"Lacrosse High School","Whitman","Rural",5.7,12
"Lafayette Elementary School","King","City",20.2,78
"Lake Chelan Preschool","Chelan","Town",NA,5
"Lake Dolloff Elementary School","King","Suburb",18.8,258
"Lake Forest Park Elementary","King","Suburb",19.8,141
"Lake Grove Elementary School","King","Suburb",16,238
"Lake Hills Elementary","King","City",14,230
"Lake Louise Elementary School","Pierce","City",18.2,304
"Lake Quinault Elementary","Grays Harbor","Rural",17.1,82
"Lake Quinault High School","Grays Harbor","Rural",11.2,89
"Lake Roosevelt Alternative School","Okanogan","Rural",NA,6
"Lake Roosevelt Elementary","Okanogan","Rural",19,240
"Lake Roosevelt Jr/Sr High School","Okanogan","Rural",15.1,187
"Lake Shore Elementary","Clark","Suburb",16.6,104
"Lake Spokane Elementary","Stevens","Town",16.5,107
"Lake Stevens Middle School","Snohomish","Suburb",19.7,169
"Lake Stevens Sr High School","Snohomish","Suburb",23.5,342
"Lake Stickney Elementary School",NA,NA,NA,NA
"Lake Tapps Elementary","Pierce","Suburb",18.5,59
"Lake View Elementary School","King","Suburb",14.8,136
"Lake Washington High","King","Suburb",21.2,191
"Lake Washington Technical Academy","King","Suburb",NA,0
"Lake Wilderness Elementary","King","Suburb",22.1,151
"Lake Youngs Elementary School","King","Suburb",19.8,112
"Lakeland Elementary School","King","Suburb",17.1,173
"Lakeland Hills Elementary","Pierce","City",18.8,118
"Lakeridge Elementary School","King","Suburb",19.2,12
"Lakeridge Elementary School","King","Suburb",15.6,337
"Lakeridge Middle School","Pierce","Suburb",20,143
"Lakes Elementary School","Thurston","Suburb",19.6,224
"Lakes High School","Pierce","City",20.6,492
